Code;Date;Number
AG;2001-01-01;-1
AG;2002-01-01;-1
AG;2003-01-01;-1
AG;2004-01-01;-1
AG;2005-01-01;-1
AG;2006-01-01;-1
AG;2007-01-01;-1
AG;2008-01-01;-1
AG;2009-01-01;-1
AG;2010-01-01;-1
AG;2011-01-01;8
AG;2012-01-01;7
AG;2013-01-01;7
AG;2014-01-01;15
AG;2015-01-01;10
AG;2016-01-01;12
AG;2017-01-01;8
AG;2018-01-01;10
AR;1980-01-01;4332
AR;1981-01-01;4275
AR;1982-01-01;3744
AR;1983-01-01;3545
AR;1984-01-01;3838
AR;1985-01-01;-1
AR;1986-01-01;-1
AR;1987-01-01;-1
AR;1988-01-01;-1
AR;1989-01-01;-1
AR;1990-01-01;2910
AR;1991-01-01;2794
AR;1992-01-01;2422
AR;1993-01-01;3048
AR;1994-01-01;3514
AR;1995-01-01;4264
AR;1996-01-01;5109
AR;1997-01-01;5859
AR;1998-01-01;6320
AR;1999-01-01;6457
AR;2000-01-01;6636
AR;2001-01-01;5779
AR;2002-01-01;4861
AR;2003-01-01;4557
AR;2004-01-01;4602
AR;2005-01-01;5269
AR;2006-01-01;5617
AR;2007-01-01;5743
AR;2008-01-01;5582
AR;2009-01-01;4976
AR;2010-01-01;4717
AR;2011-01-01;4821
AR;2012-01-01;4813
AR;2013-01-01;4772
AR;2014-01-01;4682
AR;2015-01-01;4125
AR;2016-01-01;3809
AR;2017-01-01;3443
AR;2018-01-01;3667
AM;1980-01-01;-1
AM;1981-01-01;-1
AM;1982-01-01;-1
AM;1983-01-01;-1
AM;1984-01-01;-1
AM;1985-01-01;-1
AM;1986-01-01;-1
AM;1987-01-01;-1
AM;1988-01-01;-1
AM;1989-01-01;-1
AM;1990-01-01;-1
AM;1991-01-01;-1
AM;1992-01-01;-1
AM;1993-01-01;214
AM;1994-01-01;233
AM;1995-01-01;285
AM;1996-01-01;316
AM;1997-01-01;183
AM;1998-01-01;83
AM;1999-01-01;125
AM;2000-01-01;127
AM;2001-01-01;155
AM;2002-01-01;207
AM;2003-01-01;157
AM;2004-01-01;-1
AM;2005-01-01;208
AM;2006-01-01;193
AM;2007-01-01;140
AM;2008-01-01;230
AM;2009-01-01;127
AM;2010-01-01;142
AM;2011-01-01;140
AM;2012-01-01;141
AM;2013-01-01;131
AM;2014-01-01;123
AM;2015-01-01;115
AM;2016-01-01;126
AM;2017-01-01;110
AM;2018-01-01;105
AW;1980-01-01;-1
AW;1981-01-01;-1
AW;1982-01-01;-1
AW;1983-01-01;-1
AW;1984-01-01;-1
AW;1985-01-01;-1
AW;1986-01-01;-1
AW;1987-01-01;-1
AW;1988-01-01;-1
AW;1989-01-01;-1
AW;1990-01-01;-1
AW;1991-01-01;-1
AW;1992-01-01;-1
AW;1993-01-01;-1
AW;1994-01-01;-1
AW;1995-01-01;-1
AW;1996-01-01;-1
AW;1997-01-01;-1
AW;1998-01-01;-1
AW;1999-01-01;-1
AW;2000-01-01;-1
AW;2001-01-01;-1
AW;2002-01-01;1
AW;2003-01-01;-1
AW;2004-01-01;-1
AW;2005-01-01;-1
AW;2006-01-01;-1
AW;2007-01-01;-1
AW;2008-01-01;-1
AW;2009-01-01;-1
AW;2010-01-01;-1
AW;2011-01-01;-1
AW;2012-01-01;-1
AW;2013-01-01;-1
AW;2014-01-01;-1
AW;2015-01-01;-1
AW;2016-01-01;-1
AW;2017-01-01;-1
AW;2018-01-01;-1
R2;1980-01-01;-1
R2;1981-01-01;-1
R2;1982-01-01;-1
R2;1983-01-01;-1
R2;1984-01-01;-1
R2;1985-01-01;-1
R2;1986-01-01;-1
R2;1987-01-01;-1
R2;1988-01-01;-1
R2;1989-01-01;-1
R2;1990-01-01;-1
R2;1991-01-01;-1
R2;1992-01-01;-1
R2;1993-01-01;-1
R2;1994-01-01;-1
R2;1995-01-01;-1
R2;1996-01-01;-1
R2;1997-01-01;570500
R2;1998-01-01;587800
R2;1999-01-01;588500
R2;2000-01-01;636900
R2;2001-01-01;674300
R2;2002-01-01;669100
R2;2003-01-01;699200
R2;2004-01-01;766200
R2;2005-01-01;854600
R2;2006-01-01;889700
R2;2007-01-01;932300
R2;2008-01-01;980000
R2;2009-01-01;944000
R2;2010-01-01;1028700
R2;2011-01-01;1178800
R2;2012-01-01;1321200
R2;2013-01-01;1489400
R2;2014-01-01;1599200
R2;2015-01-01;1777400
R2;2016-01-01;2012200
R2;2017-01-01;2054500
R2;2018-01-01;2221800
AU;1980-01-01;15936
AU;1981-01-01;16148
AU;1982-01-01;16175
AU;1983-01-01;16459
AU;1984-01-01;17382
AU;1985-01-01;-1
AU;1986-01-01;-1
AU;1987-01-01;-1
AU;1988-01-01;-1
AU;1989-01-01;-1
AU;1990-01-01;-1
AU;1991-01-01;-1
AU;1992-01-01;-1
AU;1993-01-01;-1
AU;1994-01-01;-1
AU;1995-01-01;14061
AU;1996-01-01;15018
AU;1997-01-01;17158
AU;1998-01-01;17925
AU;1999-01-01;19818
AU;2000-01-01;22001
AU;2001-01-01;22735
AU;2002-01-01;22545
AU;2003-01-01;21594
AU;2004-01-01;22833
AU;2005-01-01;23857
AU;2006-01-01;26003
AU;2007-01-01;26840
AU;2008-01-01;26346
AU;2009-01-01;23681
AU;2010-01-01;24887
AU;2011-01-01;25526
AU;2012-01-01;26358
AU;2013-01-01;29717
AU;2014-01-01;25956
AU;2015-01-01;28605
AU;2016-01-01;28394
AU;2017-01-01;28906
AU;2018-01-01;29957
AT;1980-01-01;6493
AT;1981-01-01;5818
AT;1982-01-01;4853
AT;1983-01-01;4667
AT;1984-01-01;4215
AT;1985-01-01;3860
AT;1986-01-01;3546
AT;1987-01-01;3521
AT;1988-01-01;3260
AT;1989-01-01;3020
AT;1990-01-01;2695
AT;1991-01-01;2620
AT;1992-01-01;2634
AT;1993-01-01;2703
AT;1994-01-01;2505
AT;1995-01-01;2186
AT;1996-01-01;2358
AT;1997-01-01;2307
AT;1998-01-01;2306
AT;1999-01-01;2369
AT;2000-01-01;2301
AT;2001-01-01;2099
AT;2002-01-01;2261
AT;2003-01-01;2333
AT;2004-01-01;2514
AT;2005-01-01;2505
AT;2006-01-01;2649
AT;2007-01-01;2672
AT;2008-01-01;2627
AT;2009-01-01;2555
AT;2010-01-01;2673
AT;2011-01-01;2430
AT;2012-01-01;2552
AT;2013-01-01;2406
AT;2014-01-01;2363
AT;2015-01-01;2441
AT;2016-01-01;2315
AT;2017-01-01;2305
AT;2018-01-01;2207
AZ;1980-01-01;-1
AZ;1981-01-01;-1
AZ;1982-01-01;-1
AZ;1983-01-01;-1
AZ;1984-01-01;-1
AZ;1985-01-01;-1
AZ;1986-01-01;-1
AZ;1987-01-01;-1
AZ;1988-01-01;-1
AZ;1989-01-01;-1
AZ;1990-01-01;-1
AZ;1991-01-01;-1
AZ;1992-01-01;-1
AZ;1993-01-01;-1
AZ;1994-01-01;-1
AZ;1995-01-01;251
AZ;1996-01-01;182
AZ;1997-01-01;-1
AZ;1998-01-01;-1
AZ;1999-01-01;-1
AZ;2000-01-01;-1
AZ;2001-01-01;213
AZ;2002-01-01;241
AZ;2003-01-01;264
AZ;2004-01-01;277
AZ;2005-01-01;287
AZ;2006-01-01;259
AZ;2007-01-01;295
AZ;2008-01-01;233
AZ;2009-01-01;281
AZ;2010-01-01;271
AZ;2011-01-01;205
AZ;2012-01-01;144
AZ;2013-01-01;156
AZ;2014-01-01;168
AZ;2015-01-01;184
AZ;2016-01-01;163
AZ;2017-01-01;226
AZ;2018-01-01;171
BS;1980-01-01;34
BS;1981-01-01;53
BS;1982-01-01;53
BS;1983-01-01;-1
BS;1984-01-01;41
BS;1985-01-01;45
BS;1986-01-01;38
BS;1987-01-01;-1
BS;1988-01-01;36
BS;1989-01-01;-1
BS;1990-01-01;27
BS;1991-01-01;28
BS;1992-01-01;31
BS;1993-01-01;-1
BS;1994-01-01;-1
BS;1995-01-01;-1
BS;1996-01-01;-1
BS;1997-01-01;-1
BS;1998-01-01;-1
BS;1999-01-01;-1
BS;2000-01-01;-1
BS;2001-01-01;-1
BS;2002-01-01;-1
BS;2003-01-01;-1
BS;2004-01-01;-1
BS;2005-01-01;-1
BS;2006-01-01;-1
BS;2007-01-01;-1
BS;2008-01-01;-1
BS;2009-01-01;-1
BS;2010-01-01;-1
BS;2011-01-01;-1
BS;2012-01-01;86
BS;2013-01-01;76
BS;2014-01-01;114
BS;2015-01-01;70
BS;2016-01-01;37
BS;2017-01-01;52
BS;2018-01-01;-1
BH;1980-01-01;47
BH;1981-01-01;29
BH;1982-01-01;41
BH;1983-01-01;28
BH;1984-01-01;65
BH;1985-01-01;16
BH;1986-01-01;20
BH;1987-01-01;-1
BH;1988-01-01;-1
BH;1989-01-01;-1
BH;1990-01-01;-1
BH;1991-01-01;-1
BH;1992-01-01;31
BH;1993-01-01;-1
BH;1994-01-01;-1
BH;1995-01-01;-1
BH;1996-01-01;-1
BH;1997-01-01;-1
BH;1998-01-01;-1
BH;1999-01-01;-1
BH;2000-01-01;-1
BH;2001-01-01;40
BH;2002-01-01;59
BH;2003-01-01;38
BH;2004-01-01;3
BH;2005-01-01;-1
BH;2006-01-01;-1
BH;2007-01-01;-1
BH;2008-01-01;-1
BH;2009-01-01;-1
BH;2010-01-01;-1
BH;2011-01-01;140
BH;2012-01-01;164
BH;2013-01-01;170
BH;2014-01-01;205
BH;2015-01-01;193
BH;2016-01-01;177
BH;2017-01-01;245
BH;2018-01-01;230
BD;1980-01-01;136
BD;1981-01-01;172
BD;1982-01-01;144
BD;1983-01-01;163
BD;1984-01-01;166
BD;1985-01-01;136
BD;1986-01-01;93
BD;1987-01-01;121
BD;1988-01-01;133
BD;1989-01-01;108
BD;1990-01-01;108
BD;1991-01-01;113
BD;1992-01-01;161
BD;1993-01-01;107
BD;1994-01-01;128
BD;1995-01-01;226
BD;1996-01-01;153
